path	modality	transfer_syntax	category	source	licence	licence_url	sha256	url
synthetic/cr_monochrome1.dcm	CR	1.2.840.10008.1.2.1	synthetic, mono16, monochrome1	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	65fceede4145fb7816a9ba2737c758a5b60d8a4b05bdfe10646efe589022c777	
synthetic/ct_multiframe_perframe.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, multiframe, per-frame-functional-groups	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	3d35fc108df59447b2cd8e205119e90f312857dbcb6a43988db9eb32a8df4143	
synthetic/ct_signed_12in16_left.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, signed-12in16, high-bit-15	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	c472146f4251c57398ec2695b02c1d1e7aeec56daac00adcf7ae48b1207406aa	
synthetic/ct_signed_12in16_right.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, signed-12in16, high-bit-11	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	6c39c115a6cfc91b5288e48a51b40b61b13433e52cac1f51e7277ae7dd87405f	
synthetic/ct_unsigned_16.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, unsigned-16	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	8cb036a6b02d7df8f87107b107c61c7816c896846a17a787a7e1f593d9d83285	
synthetic/mr_nonsquare_spacing.dcm	MR	1.2.840.10008.1.2.1	synthetic, mono16, nonsquare-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	fd1eb574ef9490faa60e56b229b7ada698147318dc1ac391265e0ffa0b4c956e	
synthetic/sc_rgb_interleaved.dcm	OT	1.2.840.10008.1.2.1	synthetic, colour, planar-config-0	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	ac5637df70438add49ed2002c26fb89a3dc2dd344305044d0f1af6efbe1255e8	
synthetic/sc_rgb_planar.dcm	OT	1.2.840.10008.1.2.1	synthetic, colour, planar-config-1	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	c228ea8887aba8cdb239c33235e3aa9e21130091a18db4169976c4475ff4bbb5	
synthetic/us_ybr_full_422.dcm	US	1.2.840.10008.1.2.1	synthetic, us, colour, ybr-full-422	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	8e7d7326e83fe35818e1fea149e34f5c1d2363a4f801461974e1b793dba5cc3a	
synthetic/ct_series_nonuniform/slice_000.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	6df40328b0abfa22f575b73536b0b296d0fed8c57efbc0a379c17cb3c793fda4	
synthetic/ct_series_nonuniform/slice_001.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	a27755e2e02a08f914df12b78a55e4291b31cfd205400efac3935b60b7b413bd	
synthetic/ct_series_nonuniform/slice_002.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	7cad347603368a051a333704a9bc86e2d74b406ad066c7a7130c2e7478ef6ac1	
synthetic/ct_series_nonuniform/slice_003.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	2ee8efeefb9c68bfbce333061ae8fbe1de445079811755cef789d9b93a09253f	
synthetic/ct_series_nonuniform/slice_004.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	1b92386cff2b5dc4efc5d463a7f75b3c13e2aa5b23081110541452c103f63371	
synthetic/ct_series_nonuniform/slice_005.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	7b94338fe219af1331bb7641b7e5a936e90dadb812a87a55d22e9737c26372c9	
synthetic/ct_series_nonuniform/slice_006.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	0517260e527b5b46f7973b4adb7aa53c15488a9e9664af1dd1d257a6691941ff	
synthetic/ct_series_nonuniform/slice_007.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	3ae250c346d59b936b8d54f25fa88a61c3555346e8d8fe4e630d324ebd981de7	
synthetic/ct_series_nonuniform/slice_008.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	8cfd30d9f9d75a4680acbaf9e2ab5f386e07712a8f9a90fbb4a95d12430dac5d	
synthetic/ct_series_nonuniform/slice_009.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, nonuniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	a44445bdeb430c40359a1363cd7b1f4c38efa2463a23f3bf371e7519ab7a8427	
synthetic/ct_series_uniform/slice_000.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, uniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	061ee84227d17d5cd3fcb73eeb2fb69eeb6f17170b3bfce34feb5fbfe7327967	
synthetic/ct_series_uniform/slice_001.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, uniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	44316ac353d9d5542180a1387779c0dd41badf491eed5db6cf62b98e1384edd9	
synthetic/ct_series_uniform/slice_002.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, uniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	d9eb5aace49f7c543d1328a63757bc770df986aaa60d2f70e6e0bf2b60cdaf02	
synthetic/ct_series_uniform/slice_003.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, uniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	55fd6db31d4838eba59606118ded1b97171560bd771f592c676aabd308e8d37f	
synthetic/ct_series_uniform/slice_004.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, uniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	6dddd0430edf8816353daaf2aae288b8f8211afde48bb71ae7457de427bcdfec	
synthetic/ct_series_uniform/slice_005.dcm	CT	1.2.840.10008.1.2.1	synthetic, mono16, series, uniform-spacing	Ocelli synthetic, scripts/corpus_synth.py	MIT OR Apache-2.0	https://www.apache.org/licenses/LICENSE-2.0	3d5793248fd3c070b87d0670600b8d8b30d76e00a0adfd495101f1a754397ed2	
